Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOC AdjEM,SOC OppO,SOC OppD,NCSOS AdjEM
117,Cal St. Fullerton,BW,21-11,+4.53,106.5,101.9,70.6,+.062,-0.51,102.9,103.4,-2.42
118,San Diego,WCC,16-13,+4.25,107.6,103.4,70.5,-.001,+2.50,105.1,102.6,-2.56
119,Northeastern,AE,21-10,+4.15,105.8,101.6,71.4,+.084,-2.47,100.1,102.5,+0.42
120,Illinois St.,MVC,17-13,+4.11,105.9,101.8,63.7,+.057,+4.00,105.4,101.4,-4.43
121,Oregon St.,P10,17-15,+4.10,107.0,102.9,68.2,+.063,+4.36,104.6,100.2,-8.31
122,VCU,CAA,19-13,+4.04,105.6,101.5,65.6,-.034,-1.98,101.2,103.2,+1.67
123,Purdue,B10,7-21,+3.97,105.9,101.9,63.3,-.100,+11.69,109.0,97.4,+4.61
124,Northwestern,B10,15-16,+3.81,101.8,97.9,60.6,+.060,+6.64,107.2,100.6,-2.95
125,San Francisco,WCC,17-14,+3.81,101.6,97.8,65.8,+.048,+3.16,104.9,101.8,+1.21
126,Bradley,MVC,13-15,+3.73,102.4,98.6,70.4,+.009,+5.10,107.1,102.0,+0.47
127,Hawaii,WAC,16-13,+3.68,105.3,101.7,64.7,-.037,+0.04,102.5,102.4,-1.94
128,Michigan,B10,13-18,+3.68,103.5,99.8,62.2,-.026,+6.50,106.0,99.5,-1.01
129,Santa Clara,WCC,15-16,+3.65,106.4,102.7,68.8,-.049,+2.22,104.6,102.4,-1.00
130,SMU,WAC,14-14,+3.61,104.8,101.2,63.8,-.059,+1.38,103.5,102.2,+1.29
131,Detroit,Horz,14-16,+3.59,103.1,99.5,59.7,-.070,+1.61,105.0,103.4,+4.86
132,South Florida,CUSA,14-16,+3.33,103.2,99.9,66.6,-.070,+2.36,103.4,101.1,-10.03
133,Bowling Green,MAC,18-11,+3.23,107.6,104.4,65.1,+.104,+2.67,105.4,102.7,-2.16
134,Southeastern Louisiana,Slnd,24-9,+3.20,97.1,93.9,60.0,+.007,-4.75,100.3,105.1,-1.78
135,Pepperdine,WCC,17-14,+3.12,107.8,104.7,69.0,+.030,+2.01,103.9,101.8,-1.04
136,Illinois Chicago,Horz,15-14,+3.06,107.6,104.5,65.9,-.010,+1.72,103.8,102.1,+9.72
137,Northern Illinois,MAC,11-17,+2.84,108.3,105.5,62.5,-.069,+4.03,106.0,102.0,+3.24
138,Drake,MVC,13-16,+2.47,105.3,102.8,67.0,+.022,+4.89,105.8,100.9,-2.10
139,IUPUI,MCon,16-13,+2.33,109.6,107.3,63.0,-.035,-1.25,104.5,105.8,+5.73
140,George Mason,CAA,16-13,+2.12,108.4,106.3,65.9,-.039,-3.21,100.6,103.9,-2.77
141,Rutgers,BE,10-19,+2.10,106.6,104.5,63.9,-.007,+10.63,108.7,98.1,+2.22
142,Princeton,Ivy,15-13,+2.06,105.2,103.1,52.9,-.017,-0.56,101.7,102.2,+6.11
143,Eastern Kentucky,OVC,22-9,+1.98,102.8,100.8,66.1,+.099,-3.87,102.4,106.3,+1.72
144,California,P10,13-16,+1.76,102.0,100.2,66.2,+.029,+5.60,106.0,100.4,-4.93
145,Butler,Horz,13-15,+1.70,109.6,107.9,58.1,-.119,-0.71,102.6,103.3,-0.90
146,Arkansas Little Rock,SB,18-10,+1.69,102.6,100.9,63.3,+.129,+1.90,103.8,101.8,+6.41
147,Portland,WCC,15-15,+1.54,104.9,103.3,65.3,-.022,+1.28,102.9,101.6,-3.27
148,Colorado St.,MWC,11-17,+1.53,103.5,102.0,66.7,-.106,+4.01,106.2,102.2,-2.62
149,Auburn,SEC,14-17,+1.53,106.8,105.3,67.6,+.064,+6.51,106.5,100.0,-2.71
150,Louisiana Tech,WAC,14-15,+1.09,102.6,101.5,67.3,-.010,+0.71,103.0,102.3,-0.43
151,Manhattan,MAAC,15-14,+0.64,103.9,103.3,65.8,-.058,-2.35,102.7,105.1,+11.03
152,Evansville,MVC,11-17,+0.55,107.4,106.8,66.6,-.030,+3.14,105.0,101.9,-7.05
153,Loyola Marymount,WCC,11-17,+0.54,98.8,98.2,67.7,-.037,+3.10,105.5,102.4,+0.28
154,San Diego St.,MWC,11-18,+0.53,105.9,105.4,66.4,-.016,+6.02,106.1,100.1,+2.04
155,Tennessee Tech,OVC,18-11,+0.43,101.3,100.8,67.6,+.008,-4.18,102.1,106.3,+2.25
156,UNC Wilmington,CAA,19-10,+0.39,100.0,99.6,62.7,+.076,-3.30,101.5,104.8,-5.06
157,BYU,MWC,9-21,+0.37,101.4,101.1,65.4,-.095,+7.41,107.8,100.4,+6.10
158,Arkansas St.,SB,16-13,+0.34,105.8,105.5,68.4,-.026,-0.78,102.3,103.1,-3.76
159,Richmond,A10,14-15,+0.34,104.1,103.8,65.9,+.065,+3.76,105.1,101.3,+8.94
160,Indiana St.,MVC,11-20,+0.24,97.4,97.1,63.4,-.017,+5.24,106.8,101.5,-0.93
161,Albany,AE,13-15,+0.22,103.6,103.4,65.1,-.121,-4.63,98.5,103.1,-5.52
162,Southeast Missouri St.,OVC,15-14,+0.21,103.7,103.4,64.5,-.092,-1.54,103.1,104.6,+4.65
163,College of Charleston,SC,18-10,+0.12,101.1,101.0,67.4,+.015,-6.28,99.6,105.9,-7.09
164,Rider,MAAC,19-11,+0.08,107.3,107.2,66.2,+.049,-3.88,101.3,105.1,-1.50
165,Chattanooga,SC,20-11,+0.03,98.9,98.8,67.6,+.059,-3.78,101.1,104.9,+5.69
166,Saint Louis,CUSA,9-21,+0.01,94.7,94.7,59.8,-.058,+5.17,106.5,101.4,+1.10
167,Sam Houston St.,Slnd,18-12,-0.06,97.4,97.5,71.3,-.003,-3.93,100.8,104.7,+4.81
168,Fresno St.,WAC,16-14,-0.06,101.5,101.6,69.0,-.002,-0.30,102.9,103.2,-3.80
169,Texas A&M Corpus Chris,ind,20-8,-0.22,104.5,104.8,66.5,+.049,-7.70,98.2,105.9,+0.68
170,Loyola Chicago,Horz,13-17,-0.22,100.5,100.7,67.4,-.015,+2.13,105.3,103.1,+7.11
171,Northwestern St.,Slnd,21-12,-0.36,103.7,104.1,67.9,+.074,-2.85,101.1,104.0,+10.64
172,Wright St.,Horz,15-15,-0.52,104.6,105.1,61.1,+.023,+0.59,103.8,103.2,+2.87
173,Georgia Southern,SC,18-13,-0.55,100.9,101.4,75.3,-.052,-4.83,99.7,104.5,+0.81
174,Lamar,Slnd,18-11,-0.70,102.5,103.2,73.8,-.021,-3.89,100.5,104.4,-0.19
175,Fairfield,MAAC,15-15,-0.71,102.3,103.0,63.2,-.038,-2.84,101.6,104.4,+2.19
176,Green Bay,Horz,17-11,-0.87,104.3,105.2,65.9,+.132,-0.13,103.6,103.7,+0.53
177,Tulsa,WAC,9-20,-1.10,99.5,100.6,69.5,-.170,+0.18,103.2,103.0,-2.13
178,Oakland,MCon,13-19,-1.20,108.1,109.3,65.2,-.022,+1.99,105.2,103.2,+14.37
179,Saint Peter's,MAAC,15-13,-1.32,104.2,105.6,72.8,-.014,-3.65,101.4,105.0,+0.23
180,Massachusetts,A10,16-12,-1.56,99.0,100.6,63.6,+.136,+0.09,103.2,103.1,+2.49
181,UMKC,MCon,16-12,-1.68,106.0,107.7,66.9,+.030,-2.87,103.5,106.4,+1.48
182,Appalachian St.,SC,18-12,-1.84,102.0,103.8,67.1,+.007,-5.70,98.6,104.3,-1.49
183,Austin Peay,OVC,13-19,-1.93,99.8,101.7,64.4,-.032,-0.65,104.1,104.7,+4.35
184,New Orleans,SB,13-17,-1.94,103.1,105.0,64.2,+.003,+0.89,104.0,103.1,+1.72
185,American,Pat,16-12,-1.95,101.8,103.7,63.9,+.041,-3.66,100.0,103.7,+0.70
186,Iona,MAAC,15-16,-2.07,100.5,102.5,67.9,-.019,-3.28,102.6,105.9,+1.25
187,UC Irvine,BW,16-13,-2.13,102.6,104.7,64.9,+.053,-2.30,101.5,103.8,-4.16
188,Fordham,A10,13-16,-2.17,97.4,99.6,65.7,-.000,-0.55,102.2,102.8,-0.28
189,Samford,OVC,15-13,-2.44,109.9,112.3,56.0,-.021,-3.60,102.0,105.6,+0.61
190,Fairleigh Dickinson,NEC,20-13,-2.52,102.7,105.2,68.6,-.003,-7.88,99.4,107.3,+0.75
191,Eastern Michigan,MAC,12-18,-2.54,103.8,106.4,70.1,-.030,+1.77,104.1,102.3,-4.93
192,UCF,ASun,24-9,-2.56,105.0,107.6,60.1,+.067,-8.61,99.0,107.7,-4.62
193,Binghamton,AE,12-17,-2.73,98.5,101.2,63.4,-.048,-2.00,101.0,103.0,+2.07
194,Montana,BSky,18-13,-2.73,99.9,102.6,68.2,+.049,-4.35,100.4,104.8,+4.56
195,Tennessee St.,OVC,14-17,-2.87,105.3,108.2,69.6,+.014,+1.60,104.9,103.3,+13.44
196,Valparaiso,MCon,15-16,-2.95,104.6,107.6,65.5,+.067,-0.72,103.8,104.5,+5.87
197,East Carolina,CUSA,9-19,-2.99,97.4,100.3,66.3,-.022,+6.17,106.0,99.8,+4.18
198,South Carolina St.,MEAC,18-12,-3.02,98.8,101.8,65.0,-.066,-12.62,94.6,107.2,-7.80
199,Furman,SC,16-13,-3.08,101.7,104.8,63.1,-.012,-3.25,100.7,104.0,+3.89
200,UTSA,Slnd,15-13,-3.35,100.4,103.8,72.8,-.006,-3.67,101.2,104.9,+5.14
201,FIU,SB,13-17,-3.66,98.4,102.0,66.6,+.040,+0.85,104.0,103.1,+0.52
202,Marshall,MAC,6-22,-3.80,104.0,107.8,65.3,+.007,+5.77,106.9,101.1,+4.89
203,Yale,Ivy,11-16,-4.10,98.7,102.8,67.1,-.025,-2.60,101.6,104.2,+0.66
204,Cleveland St.,Horz,9-17,-4.25,100.6,104.8,68.2,-.096,+1.24,104.3,103.1,+3.54
205,Georgia,SEC,8-20,-4.63,94.4,99.1,64.2,-.008,+7.09,106.3,99.2,-7.69
206,Western Illinois,MCon,11-17,-4.71,100.0,104.7,64.1,-.054,-0.95,104.6,105.6,+5.81
207,North Texas,SB,14-14,-4.73,100.9,105.6,71.1,+.067,-1.41,102.3,103.7,-2.41
208,UNC Greensboro,SC,18-12,-4.89,98.1,103.0,69.8,+.140,-3.19,100.5,103.7,+5.78
209,Delaware St.,MEAC,19-14,-4.95,102.3,107.2,59.3,+.077,-7.47,97.1,104.6,+9.89
210,Gardner Webb,ASun,18-12,-5.12,97.8,102.9,67.8,+.001,-8.33,99.4,107.7,+6.09
211,Lehigh,Pat,14-15,-5.17,94.9,100.1,64.1,-.047,-6.78,98.3,105.1,-7.73
212,UC Santa Barbara,BW,11-18,-5.18,96.4,101.6,60.8,-.010,-0.19,103.1,103.3,+2.27
213,Portland St.,BSky,19-9,-5.20,99.2,104.4,68.8,+.070,-10.23,97.2,107.5,-10.00
214,Boise St.,WAC,16-18,-5.40,104.4,109.8,69.1,+.079,-1.10,101.2,102.3,-9.56
215,Monmouth,NEC,16-13,-5.42,98.1,103.5,62.2,+.041,-7.55,99.5,107.0,+3.88
216,Penn St.,B10,7-23,-5.44,101.2,106.6,65.9,-.026,+8.04,106.6,98.6,-1.83
217,La Salle,A10,10-19,-5.47,99.2,104.7,63.5,+.026,+1.88,104.0,102.1,+2.33
218,Harvard,Ivy,12-15,-5.66,97.5,103.1,69.0,+.017,-3.47,99.6,103.0,-1.87
219,Maine,AE,14-15,-5.78,93.8,99.5,67.1,+.050,-3.29,99.9,103.2,-4.24
220,Birmingham Southern,BSth,16-14,-6.00,103.4,109.4,59.7,-.015,-7.94,97.8,105.8,-3.57
221,Belmont,ASun,14-16,-6.13,98.7,104.8,65.9,-.050,-7.89,99.6,107.5,+3.30
222,South Alabama,SB,10-18,-6.20,96.1,102.3,63.4,-.028,+1.26,103.7,102.4,+3.74
223,Wofford,SC,14-14,-6.24,102.2,108.4,66.7,+.010,-3.19,100.4,103.6,+4.51
224,Delaware,CAA,11-20,-6.46,95.1,101.5,68.2,-.063,-2.21,101.7,103.9,-1.25
225,Utah Valley St.,ind,16-12,-6.51,101.2,107.7,62.1,+.040,-8.49,98.4,106.9,-4.38
226,High Point,BSth,13-18,-6.53,97.3,103.8,72.4,-.120,-8.45,98.6,107.0,-1.45
227,Cornell,Ivy,13-14,-6.86,101.8,108.7,62.3,+.038,-4.65,99.4,104.0,-4.41
228,McNeese St.,Slnd,13-15,-6.89,97.6,104.5,74.0,-.011,-3.02,101.2,104.3,+5.43
229,Eastern Illinois,OVC,12-16,-7.03,101.7,108.7,66.2,+.056,-1.91,102.9,104.8,+1.59
230,Southern Miss,CUSA,11-17,-7.08,102.7,109.8,64.8,-.009,+1.61,102.9,101.3,-7.64
231,Marist,MAAC,11-17,-7.17,101.4,108.6,66.1,-.019,-4.39,101.5,105.9,-2.69
232,Hampton,MEAC,17-13,-7.17,94.6,101.8,66.2,+.028,-11.35,95.0,106.3,+2.68
233,Northern Arizona,BSky,11-17,-7.17,102.3,109.5,71.7,-.128,-6.37,98.2,104.5,-1.40
234,Georgia St.,ASun,14-15,-7.42,102.2,109.6,65.0,+.035,-5.37,100.4,105.8,+13.98
235,Long Beach St.,BW,10-20,-7.50,94.2,101.7,64.1,+.010,-0.38,102.9,103.3,+1.03
236,Baylor,B12,9-19,-7.51,103.5,111.1,63.8,-.051,+5.25,104.9,99.7,-20.99
237,Montana St.,BSky,14-14,-7.67,95.4,103.0,67.9,+.001,-6.93,98.5,105.4,-3.22
238,Central Michigan,MAC,10-18,-7.71,97.9,105.6,68.9,+.046,+4.11,106.2,102.1,-0.46
239,Brown,Ivy,12-16,-7.73,99.1,106.8,67.8,-.022,-4.67,99.0,103.6,-4.65
240,Central Connecticut,NEC,12-16,-7.96,102.4,110.4,63.6,-.040,-7.92,99.9,107.9,-0.00
241,Chicago St.,MCon,9-19,-8.09,97.1,105.2,65.5,+.016,-0.36,104.8,105.1,+7.37
242,Florida Atlantic,ASun,10-17,-8.12,100.3,108.5,72.9,-.075,-7.58,99.4,107.0,+6.56
243,St. Francis NY,NEC,13-15,-8.20,96.8,105.0,69.7,-.028,-8.55,98.4,106.9,-3.34
244,Mercer,ASun,16-12,-8.26,102.1,110.3,71.2,+.009,-10.20,97.7,107.9,-6.95
245,Weber St.,BSky,14-16,-8.32,101.2,109.6,62.9,+.010,-6.40,98.7,105.1,-2.63
246,Idaho,BW,8-22,-8.55,96.0,104.5,63.6,-.049,-0.93,102.1,103.0,-0.92
247,Tulane,CUSA,10-18,-8.56,98.9,107.5,67.7,+.019,+1.85,102.9,101.1,-11.62
248,Colgate,Pat,12-16,-8.59,99.9,108.5,64.2,+.024,-4.08,99.2,103.3,-0.82
249,Coppin St.,MEAC,13-15,-8.71,92.9,101.6,64.1,+.039,-6.33,97.8,104.1,+21.32
250,Columbia,Ivy,12-15,-8.89,95.5,104.4,66.1,-.014,-7.65,97.8,105.4,-11.34
251,Rhode Island,A10,6-22,-8.91,95.5,104.4,62.0,-.025,+0.25,102.3,102.0,+0.84
